Source ,Target,Type,Weight
6,45,Undirected,64997961.25
8,20,Undirected,57706366.44
35,17,Undirected,46042418.17
117,3,Undirected,35775976.6
27,16,Undirected,43781120.27
7,28,Undirected,56538159.91
35,16,Undirected,77706060.83
16,79,Undirected,88293326.57
95,2,Undirected,145157630.3
71,17,Undirected,24868307.8
18,5,Undirected,5867561
10,30,Undirected,5867561
65,15,Undirected,69944819.6
12,32,Undirected,74400326.42
7,84,Undirected,135272003.4
84,6,Undirected,80173669.8
49,2,Undirected,57511679.88
12,39,Undirected,50225983.3
133,6,Undirected,7977814.5
39,17,Undirected,129204282.3
133,4,Undirected,75270340
4,168,Undirected,40353195.09
17,168,Undirected,43342222.64
95,3,Undirected,5421875
82,3,Undirected,22441274.67
2,25,Undirected,103782961
8,29,Undirected,73462408.57
38,55,Undirected,9326130
65,4,Undirected,62280170.57
22,15,Undirected,34709319.29
131,6,Undirected,34709319.29
39,16,Undirected,36109390.33
58,6,Undirected,81782920.33
17,255,Undirected,63365051
120,6,Undirected,46809986
120,15,Undirected,33986279.3
133,2,Undirected,21016992.13
119,6,Undirected,7977814.5
7,26,Undirected,35975076.5
1,17,Undirected,20780324.88
7,65,Undirected,20793240.71
4,35,Undirected,78336833.5
4,79,Undirected,26034912.13
10,255,Undirected,4885193.333
36,255,Undirected,80553345.5
136,3,Undirected,142436640.2
7,32,Undirected,120397616.4
2,42,Undirected,5867561
71,36,Undirected,98398457
62,3,Undirected,100173635.3
44,17,Undirected,47351080
6,122,Undirected,113810181.7
18,28,Undirected,172933030.9
3,25,Undirected,44799470
12,47,Undirected,7314013
44,36,Undirected,19857791.6
4,174,Undirected,181791079.3
1,2,Undirected,63355041
2,5,Undirected,40473538.63
62,2,Undirected,19640921.14
95,6,Undirected,122288855.6
6,42,Undirected,111491627.9
9,26,Undirected,5421875
65,16,Undirected,31267961.75
22,16,Undirected,31267961.75
49,7,Undirected,92479045.75
40,6,Undirected,4640455
33,9,Undirected,113695135.8
12,37,Undirected,113695135.8
12,45,Undirected,85865795.25
47,255,Undirected,63922371.38
7,64,Undirected,18191279.44
10,64,Undirected,40003001.25
41,6,Undirected,28766706.86
20,6,Undirected,28766706.86
79,255,Undirected,69108938.38
2,136,Undirected,69108938.38
4,95,Undirected,69108938.38
2,281,Undirected,18314769.67
82,2,Undirected,105901198.4
82,15,Undirected,109051774.7
56,5,Undirected,151890445
37,6,Undirected,32959348
7,45,Undirected,32959348
18,20,Undirected,11493748.67
8,6,Undirected,112576784.8
4,45,Undirected,17545547.57
20,13,Undirected,114430116.3
6,281,Undirected,127244345.4
3,174,Undirected,114430116.3
2,174,Undirected,75864811.14
4,62,Undirected,95226910.88
7,99,Undirected,80636310.22
6,99,Undirected,73274056.89
117,6,Undirected,65395848.11
58,16,Undirected,61628746.33
26,17,Undirected,63734858.8
12,255,Undirected,68184975.14
39,47,Undirected,34308562.43
11,4,Undirected,55159742.78
160,6,Undirected,54220153.67
30,255,Undirected,110118414.5
6,136,Undirected,35764971
95,15,Undirected,118112021.3
42,3,Undirected,5421875
16,45,Undirected,31064444
36,79,Undirected,107988208.3
79,129,Undirected,105012318.6
1,56,Undirected,7542735
12,10,Undirected,55614837.63
12,36,Undirected,8891513.6
91,6,Undirected,35775976.6
105,6,Undirected,35775976.6
10,71,Undirected,28766706.86
49,4,Undirected,118585107.4
29,13,Undirected,111056637.9
7,122,Undirected,111056637.9
6,25,Undirected,27696137
11,64,Undirected,118320921.8
63,6,Undirected,33605324.88
44,10,Undirected,119557086.2
6,48,Undirected,49060660.25
145,2,Undirected,45414038.38
145,3,Undirected,61162548.75
12,22,Undirected,47366014.2
7,285,Undirected,99307355
131,3,Undirected,60094577.29
58,7,Undirected,19653451.25
27,7,Undirected,66238854.17
12,27,Undirected,28761516.88
33,39,Undirected,83021602.83
33,255,Undirected,31267961.75
120,16,Undirected,31267961.75
39,9,Undirected,31064444
22,4,Undirected,31064444
119,2,Undirected,41338415.86
119,3,Undirected,64901761.33
119,17,Undirected,57611782.4
7,41,Undirected,64071501
7,20,Undirected,64071501
17,28,Undirected,64071501
35,255,Undirected,75652010.67
168,255,Undirected,103782961
47,36,Undirected,93988654.67
37,16,Undirected,84570187.75
32,9,Undirected,103784964.8
97,6,Undirected,15226280.25
56,14,Undirected,15226280.25
12,30,Undirected,15226280.25
49,15,Undirected,15226280.25
91,36,Undirected,15226280.25
90,3,Undirected,15226280.25
17,45,Undirected,102051076
53,6,Undirected,115024401.8
81,6,Undirected,17460690.5
75,6,Undirected,96777995
124,6,Undirected,99079359
15,25,Undirected,106728975.9
4,136,Undirected,27011174
7,8,Undirected,168894725.9
11,11,Undirected,14199597.86
37,4,Undirected,56597494.86
55,55,Undirected,100041380.6
339,1,Undirected,52220169.86
2,129,Undirected,104834815.5
238,6,Undirected,97441723.4
6,67,Undirected,113810181.7
145,15,Undirected,78805564.14
84,36,Undirected,34165103.8
6,285,Undirected,21268058.83
11,9,Undirected,63734858.8
117,2,Undirected,63734858.8
40,3,Undirected,39262282.8
369,6,Undirected,41836168.25
369,3,Undirected,85537810
117,4,Undirected,87399814.8
26,47,Undirected,62875067.17
133,15,Undirected,53183008.67
30,11,Undirected,53183008.67
370,6,Undirected,32124897.71
17,5,Undirected,5421875
65,17,Undirected,7659438.5
10,47,Undirected,26373429.67
95,16,Undirected,26373429.67
247,2,Undirected,19217106
42,15,Undirected,55439700.5
4,42,Undirected,64901761.33
82,16,Undirected,32921274.2
82,4,Undirected,57413498.83
12,35,Undirected,66335206
12,168,Undirected,5347164
12,79,Undirected,48402879.83
49,16,Undirected,48402879.83
130,6,Undirected,67178082.67
161,3,Undirected,67178082.67
33,17,Undirected,37785280.67
320,3,Undirected,18573019.67
29,14,Undirected,18573019.67
146,6,Undirected,18573019.67
19,142,Undirected,27553537.83
1,102,Undirected,27553537.83
7,63,Undirected,69667117.17
122,36,Undirected,69667117.17
7,281,Undirected,69667117.17
36,281,Undirected,109051774.7
10,281,Undirected,151890445
11,15,Undirected,67947261.5
74,1,Undirected,280187925.3
17,129,Undirected,15708345.5
17,47,Undirected,74978282.33
22,6,Undirected,25817972
319,2,Undirected,57792000.2
7,48,Undirected,253577394.2
7,95,Undirected,212334583.8
7,42,Undirected,109211027.3
