ID,Label
1,pop rap
2,hip hop
3,rap
4,dance pop
5,pop
6,electropop
7,melodic rap
8,edm
9,atl hip hop
10,post-teen pop
11,trap
12,southern hip hop
13,underground hip hop
14,nc hip hop
15,miami hip hop
16,electro house
17,canadian pop
18,conscious hip hop
19,atl trap
20,cali rap
21,alternative r&b
22,house
23,gangster rap
24,latin
25,dfw rap
26,queens hip hop
27,tropical house
28,r&b
29,trap soul
30,canadian hip hop
31,contemporary country
32,dirty south rap
33,toronto rap
34,modern rock
35,chicago rap
36,australian pop
37,sudanese pop
38,big room
39,emo rap
40,detroit hip hop
41,indie poptimism
42,brostep
43,moombahton
44,boy band
45,reggaeton
46,g funk
47,uk dance
48,australian hip hop
49,australian indie
50,complextro
51,melodic dubstep
52,country
53,philly rap
54,filter house
55,canadian contemporary r&b
56,afro dancehall
57,nigerian hip hop
58,nigerian pop
59,pop edm
60,emo
61,country road
62,indietronica
63,metropopolis
64,meme rap
65,vapor trap
66,german techno
67,bmore
68,ninja
69,nz pop
70,uk hip hop
71,pop house
72,disco house
73,hip pop
74,reggaeton flow
75,neo soul
76,uk contemporary r&b
77,art pop
78,modern alternative rock
79,dmv rap
80,electronic trap
81,grime
82,outlaw country
83,dancehall
84,album rock
85,birmingham metal
86,hard rock
87,metal
88,baroque pop
89,etherpop
90,neo mellow
91,australian electropop
92,latin hip hop
93,latin pop
94,swedish pop
95,k-pop
96,afropop
97,british indie rock
98,rap rock
99,country rap
100,uk pop
101,social media pop
102,indie pop rap
103,europop
104,east coast hip hop
105,instrumental grime
106,aussietronica
107,perreo
108,pop rock
109,k-pop boy group
110,talent show
111,new orleans rap
112,florida rap
113,country pop
114,modern country rock
115,nz reggae
116,australian dance
117,downtempo
118,gauze pop
119,dark trap
120,pop punk
121,rock
122,liquid funk
123,uk funky
124,teen pop
125,indie r&b
126,eurodance
127,indie pop
128,lgbtq+ hip hop
129,progressive electro house
130,pop reggaeton
131,disney
132,baile pop
133,funk carioca
134,funk das antigas
135,pagode baiano
136,escape room
137,deep pop r&b
138,glam rock
139,afrobeat
140,malian blues
141,mande pop
142,adult standards
143,dutch edm
144,trance
145,progressive house
146,electro
147,german dance
148,boston hip hop
149,houston rap
150,azonto
151,la pop
152,blues rock
153,classic rock
154,mexican classic rock
155,canadian electronic
156,deep big room
157,deep talent show
158,deep euro house
159,deep house
160,finnish pop
161,uk alternative hip hop
162,celtic
163,celtic punk
164,celtic rock
165,folk punk
166,irish folk
167,new wave pop
168,bubblegum dance
169,dutch house
170,neo-synthpop
171,gospel
172,piano rock
173,k-hop
174,destroy techno
175,puerto rican pop
176,tropical
177,birmingham grime
178,italo dance
179,swedish electropop
180,k-pop girl group
181,australian trap
182,broadway
183,hollywood
184,movie tunes
185,country dawn
186,texas country
187,la indie
188,indie electropop
189,mexican pop
190,lounge
191,minnesota hip hop
192,art rock
193,dance rock
194,permanent wave
195,protopunk
196,candy pop
197,sleep
198,norwegian pop
199,easy listening
200,scandipop
201,dutch pop
202,basshall
203,memphis hip hop
204,baton rouge rap
205,experimental rock
206,experimental
207,experimental pop
208,trap queen
209,girl group
210,nottingham indie
211,argentine hip hop
212,trap argentino
213,trap latino
214,alternative hip hop
215,hardcore hip hop
216,smooth jazz
217,smooth saxophone
218,oklahoma country
219,brill building pop
220,deep adult standards
221,chillwave
222,canadian country
223,australian alternative rock
224,australian indigenous
225,australian rock
226,future house
227,reggae fusion
228,danish electronic
229,urban contemporary
230,viral pop
231,vocal house
232,soundtrack
233,video game music
234,nyc rap
235,brisbane indie
236,uk alternative pop
237,shimmer pop
238,beatboxing
239,west coast rap
240,vapor soul
241,wassoulou
242,world
243,vapor twitch
244,punk
245,australian reggae fusion
246,show tunes
247,swing
248,folk rock
249,mellow gold
250,psychedelic rock
251,singer-songwriter
252,vocal harmony group
253,shiver pop
254,muzica crestina
255,zimdancehall
256,sky room
