ID,Label
1,pop rap
2,rap
3,hip hop
4,pop
5,dance pop
6,melodic rap
7,southern hip hop
8,trap
9,atl hip hop
10,electropop
11,edm
12,cali rap
13,atl trap
14,gangster rap
15,nc hip hop
16,post-teen pop
17,underground hip hop
18,canadian hip hop
19,miami hip hop
20,conscious hip hop
21,dirty south rap
22,toronto rap
23,r&b
24,latin
25,canadian pop
26,alternative r&b
27,chicago rap
28,trap soul
29,electro house
30,queens hip hop
31,philly rap
32,dfw rap
33,emo rap
34,contemporary country
35,hip pop
36,tropical house
37,reggaeton
38,detroit hip hop
39,moombahton
40,sudanese pop
41,canadian contemporary r&b
42,modern rock
43,new orleans rap
44,electronic trap
45,bmore
46,ninja
47,australian pop
48,indie poptimism
49,big room
50,dmv rap
51,pop edm
52,brostep
53,dancehall
54,boy band
55,g funk
56,house
57,latin hip hop
58,country road
59,modern reggae
60,vapor trap
61,east coast hip hop
62,neo mellow
63,melodic dubstep
64,country
65,indie pop rap
66,australian dance
67,afro dancehall
68,nigerian hip hop
69,nigerian pop
70,emo
71,memphis hip hop
72,indietronica
73,meme rap
74,latin pop
75,k-pop
76,complextro
77,belgian edm
78,uk hip hop
79,reggaeton flow
80,art pop
81,neo soul
82,modern alternative rock
83,reggae
84,reggae fusion
85,puerto rican pop
86,swedish pop
87,nyc rap
88,german techno
89,grime
90,outlaw country
91,album rock
92,birmingham metal
93,hard rock
94,metal
95,pop house
96,baroque pop
97,etherpop
98,indie r&b
99,houston rap
100,deep pop r&b
101,progressive electro house
102,escape room
103,afropop
104,uk dance
105,modern country rock
106,tropical
107,lovers rock
108,british indie rock
109,rap rock
110,country rap
111,florida rap
112,dark trap
113,europop
114,metropopolis
115,trap latino
116,perreo
117,pop rock
118,crunk
119,deep big room
120,k-pop boy group
121,chicago drill
122,drill
123,adult standards
124,basshall
125,urban contemporary
126,country pop
127,new jersey rap
128,destroy techno
129,pop punk
130,eurodance
131,indie pop
132,lgbtq+ hip hop
133,hip hop quebecois
134,indie quebecois
135,latin viral pop
136,rap latina
137,r&b en espanol
138,pop reggaeton
139,country dawn
140,future house
141,progressive house
142,baile pop
143,funk carioca
144,funk das antigas
145,pagode baiano
146,alternative hip hop
147,glam rock
148,afrobeat
149,malian blues
150,mande pop
151,social media pop
152,easy listening
153,lounge
154,dutch edm
155,trance
156,dutch hip hop
157,dutch house
158,dutch urban
159,belgian dance
160,german dance
161,boston hip hop
162,azonto
163,new jack swing
164,quiet storm
165,talent show
166,hong kong hip hop
167,blues rock
168,classic rock
169,mexican classic rock
170,rock
171,canadian electronic
172,roots reggae
173,panamanian pop
174,deep talent show
175,deep euro house
176,deep house
177,finnish pop
178,celtic
179,celtic punk
180,celtic rock
181,folk punk
182,irish folk
183,new wave pop
184,bubblegum dance
185,neo-synthpop
186,minnesota hip hop
187,gospel
188,electro
189,k-hop
190,birmingham grime
191,instrumental grime
192,italo dance
193,pittsburgh rap
194,swedish electropop
195,k-pop girl group
196,disco house
197,filter house
198,nyc pop
199,texas country
200,la indie
201,mexican pop
202,hollywood
203,piano rock
204,battle rap
205,pop argentino
206,hardcore hip hop
207,art rock
208,dance rock
209,permanent wave
210,protopunk
211,candy pop
212,uk contemporary r&b
213,uk pop
214,norwegian pop
215,scandipop
216,baton rouge rap
217,hawaiian hip hop
218,experimental rock
219,experimental
220,experimental pop
221,trap queen
222,canadian folk
223,soul
224,indie soul
225,la pop
226,post-romantic era
227,soundtrack
228,argentine hip hop
229,trap argentino
230,smooth jazz
231,smooth saxophone
232,oklahoma country
233,brill building pop
234,deep adult standards
235,musica canaria
236,chillwave
237,nz pop
238,canadian country
239,indie rock
240,metalcore
241,soca
242,teen pop
243,danish electronic
244,viral pop
245,west coast rap
246,video game music
247,rap conscient
248,uk alternative pop
249,shimmer pop
250,pop quebecois
251,rap montrealais
252,uk dancehall
253,wassoulou
254,world
255,swing
256,vocal harmony group
257,singer-songwriter
258,punk
259,vocal house
260,show tunes
261,folk rock
262,mellow gold
263,psychedelic rock
264,torch song
265,vocal jazz
266,ukrainian classical
267,uk funky
268,shiver pop
269,vapor soul
270,washington indie
271,screamo
272,zimdancehall
