,song_popularity,explicit,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2,artist1_num_available_markets,artist2_num_available_markets,release_date_year,modularity_class_artist1,modularity_class_artist2,clustering_genre_artist1,clustering_genre_artist2
0,average,True,1,192000,8,0,3,0.0209,0.614,0.641,0.0,0.0659,-6.751,0.288,0.492,123.539,Nafe Smallz,Tory Lanez,100203,69,"['trap soul', 'uk drill', 'uk hip hop']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",79.0,48.0,2019,1,1,0.542657,0.470657
1,average,True,1,192000,8,0,3,0.0209,0.614,0.641,0.0,0.0659,-6.751,0.288,0.492,123.539,Nafe Smallz,Tory Lanez,100203,69,"['trap soul', 'uk drill', 'uk hip hop']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",79.0,48.0,2019,1,1,0.542657,0.470657
2,high,True,12,193933,5,1,4,0.174,0.78,0.679,0.0,0.127,-4.554,0.0881,0.47,139.978,Trippie Redd,Tory Lanez,4543729,89,"['melodic rap', 'rap', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",75.0,48.0,2019,1,1,0.367129,0.470657
3,average,True,15,185828,7,1,4,0.567,0.678,0.477,0.0,0.11,-9.626,0.0836,0.481,92.963,Trippie Redd,Tory Lanez,4543729,89,"['melodic rap', 'rap', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",75.0,48.0,2018,1,1,0.367129,0.470657
4,low,True,6,224967,2,1,5,0.0275,0.405,0.653,0.0,0.0641,-6.03,0.0677,0.208,146.991,Maxwell,Tory Lanez,146136,72,"['deep german hip hop', 'german hip hop']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",64.0,48.0,2017,3,1,0.785714,0.470657
5,low,True,3,138473,9,0,4,0.0595,0.765,0.801,0.0,0.724,-4.809,0.174,0.747,95.071,6ix9ine,Tory Lanez,4618132,80,"['emo rap', 'rap', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",8.0,48.0,2018,1,1,0.45856,0.470657
6,low,True,4,136031,1,0,4,0.128,0.745,0.715,0.0,0.182,-3.368,0.245,0.342,94.513,6ix9ine,Tory Lanez,4618132,80,"['emo rap', 'rap', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",8.0,48.0,2018,1,1,0.45856,0.470657
7,average,True,3,184328,11,1,3,0.0329,0.715,0.788,0.0,0.162,-4.529,0.246,0.643,157.958,PnB Rock,Tory Lanez,2444602,80,"['melodic rap', 'pop rap', 'rap', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",57.0,48.0,2019,1,1,0.367129,0.470657
8,average,True,9,150040,1,1,4,0.0388,0.778,0.644,0.0,0.115,-4.147,0.12,0.21,169.986,Rich The Kid,Tory Lanez,2103416,82,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",37.0,48.0,2019,1,1,0.373684,0.470657
9,low,True,1,150040,1,1,4,0.0381,0.78,0.643,0.0,0.115,-4.154,0.121,0.211,169.995,Rich The Kid,Tory Lanez,2103416,82,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2905370,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",37.0,48.0,2019,1,1,0.373684,0.470657
