,song_popularity,explicit,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2
4115,42,True,9,3,3,2019-02-01,186112,6,0,3,0.0304,0.52,0.618,0.0,0.129,-6.461,0.325,0.476,69.055,King Khalil,Sami,188565,59,"['deep german hip hop', 'german cloud rap', 'german hip hop', 'german trap']",70632,53,['german hip hop']
4116,45,True,1,3,3,2019-11-08,198765,2,0,4,0.246,0.672,0.678,0.0,0.162,-6.222,0.328,0.659,107.786,King Khalil,Azan,188565,59,"['deep german hip hop', 'german cloud rap', 'german hip hop', 'german trap']",20365,47,['german hip hop']
4117,36,True,3,2,3,2019-02-01,159690,7,1,4,0.0316,0.783,0.726,1.93e-05,0.102,-7.984,0.14,0.704,103.993,King Khalil,Laruzo,188565,59,"['deep german hip hop', 'german cloud rap', 'german hip hop', 'german trap']",34126,52,"['deep german hip hop', 'german hip hop']"
4118,59,False,1,2,79,2016-10-21,206393,1,0,4,0.045,0.528,0.874,0.0,0.0888,-3.028,0.0456,0.376,105.042,Peking Duk,Elliphant,187491,62,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm', 'indietronica']",116933,57,['swedish indie pop']
4119,59,False,1,2,79,2019-01-17,191574,8,1,4,0.00415,0.529,0.722,0.00155,0.207,-5.931,0.0418,0.467,97.004,Peking Duk,Jack River,187491,62,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm', 'indietronica']",48337,55,"['australian hip hop', 'australian indie', 'australian pop']"
4120,52,True,1,2,79,2017-10-13,218853,8,0,4,0.0387,0.557,0.883,1.61e-05,0.107,-5.069,0.0656,0.588,99.963,Peking Duk,Icona Pop,187491,62,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm', 'indietronica']",643882,71,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish synthpop']"
4121,8,False,1,2,0,2014-02-14,228000,0,0,4,0.00127,0.524,0.798,0.00134,0.347,-4.092,0.0491,0.357,100.1,Peking Duk,Nicole Millar,187491,62,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm', 'indietronica']",23515,50,"['australian pop', 'gauze pop']"
4122,77,True,1,2,79,2019-05-23,236000,1,1,4,0.234,0.918,0.837,0.0,0.227,-6.792,0.255,0.855,120.017,Joyner Lucas,Logic,1176110,82,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
4123,68,False,3,2,79,2018-05-18,165626,1,0,4,0.162,0.564,0.722,0.0,0.0931,-5.59,0.124,0.276,99.083,OneRepublic,Logic,9770529,85,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",4587917,84,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
4124,56,True,9,4,79,2019-10-31,204480,6,0,4,0.0464,0.752,0.631,0.00424,0.126,-7.868,0.284,0.507,145.004,102 Boyz,Chapo102,98786,66,"['deep german hip hop', 'german alternative rap', 'german cloud rap', 'german hip hop', 'german trap']",19203,63,"['german cloud rap', 'german hip hop', 'german trap']"
4125,78,False,1,2,79,2019-05-03,206279,2,1,4,0.0655,0.618,0.795,0.0,0.309,-1.8,0.113,0.76,185.901,Mau y Ricky,Camilo,1846105,81,"['latin', 'latin pop', 'reggaeton']",1346813,86,"['colombian pop', 'latin', 'reggaeton']"
4126,79,False,1,3,79,2019-07-17,188467,11,0,4,0.236,0.691,0.773,0.0,0.329,-3.812,0.0355,0.85,92.992,Mau y Ricky,Camilo,1846105,81,"['latin', 'latin pop', 'reggaeton']",1346813,86,"['colombian pop', 'latin', 'reggaeton']"
4127,58,False,10,2,1,2019-02-13,204013,0,1,4,0.446,0.597,0.785,0.0,0.0821,-4.115,0.0617,0.193,157.974,ONE OK ROCK,Kiiara,2903429,73,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",660297,68,"['electropop', 'indie poptimism', 'indietronica', 'pop']"
4128,50,True,1,2,2,2018-03-01,223899,0,1,4,0.0404,0.567,0.644,5.03e-06,0.0632,-5.699,0.0278,0.212,140.038,Cheat Codes,Kiiara,1562496,80,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']",660297,68,"['electropop', 'indie poptimism', 'indietronica', 'pop']"
