Source,Target,Type,Weight
1,2,Undirected,8794757.93
2,5,Undirected,7530669.377
2,2,Undirected,9055383.2
2,9,Undirected,9663165.328
2,8,Undirected,6042282.068
1,5,Undirected,7927630.756
2,21,Undirected,8694474.543
3,2,Undirected,6161292.697
1,9,Undirected,9317803.244
2,18,Undirected,7038682.788
4,2,Undirected,7762074.8
5,8,Undirected,6557543.813
6,7,Undirected,12942325
3,5,Undirected,8232435.846
7,7,Undirected,13235886.84
1,21,Undirected,8820859.056
5,9,Undirected,8386228.289
3,8,Undirected,6611463.5
1,4,Undirected,7592427.457
5,18,Undirected,8108118.563
7,17,Undirected,12135694.24
1,8,Undirected,6106596.667
1,1,Undirected,9528711.432
8,18,Undirected,7908639.214
3,18,Undirected,7498780.1
1,18,Undirected,7686635.407
9,8,Undirected,6517312.172
1,3,Undirected,6906809.692
5,5,Undirected,8090711.857
4,9,Undirected,8754773.758
9,21,Undirected,9534853.364
2,20,Undirected,6435776.769
3,9,Undirected,6908838.88
10,2,Undirected,10972236.58
11,16,Undirected,8436545.292
12,2,Undirected,6456392
9,18,Undirected,8556923.913
7,16,Undirected,12695405.24
13,2,Undirected,7297913.739
8,8,Undirected,7281670.462
14,16,Undirected,10120552
7,14,Undirected,12750974.07
4,21,Undirected,6283305.438
15,7,Undirected,13659176.6
3,3,Undirected,4941501.429
1,13,Undirected,7830255.35
5,20,Undirected,9982054.8
5,21,Undirected,7671813.75
7,28,Undirected,14646143.9
1,20,Undirected,6917017.588
4,5,Undirected,6508432.688
12,1,Undirected,6484965.222
16,16,Undirected,10250208.52
6,6,Undirected,13921931.39
2,67,Undirected,5595147.333
6,17,Undirected,8149000.667
3,20,Undirected,4941501.429
8,20,Undirected,6856688.25
11,14,Undirected,7444566.889
7,11,Undirected,12771038.17
1,10,Undirected,11218486.5
17,17,Undirected,9354842.111
5,149,Undirected,10904072.13
9,9,Undirected,10651997.33
15,17,Undirected,10311558.1
9,20,Undirected,8241432.125
18,18,Undirected,7768605.778
7,25,Undirected,18924454.14
6,14,Undirected,12805196.88
6,16,Undirected,12805196.88
15,28,Undirected,27504898.82
13,9,Undirected,7799955.176
1,67,Undirected,6403836.273
12,8,Undirected,6940030.2
