ID,Label
1,german hip hop
2,deep german hip hop
3,german cloud rap
4,dance pop
5,pop
6,pop rap
7,rap
8,edm
9,albanian hip hop
10,electropop
11,hip hop
12,post-teen pop
13,melodic rap
14,electro house
15,atl hip hop
16,latin
17,tropical house
18,canadian pop
19,german trap
20,german pop
21,german underground rap
22,house
23,big room
24,trap
25,hamburg hip hop
26,dfw rap
27,christlicher rap
28,southern hip hop
29,alternative r&b
30,french hip hop
31,german alternative rap
32,swedish pop
33,atl trap
34,gangster rap
35,reggaeton
36,modern rock
37,moombahton
38,pop edm
39,conscious hip hop
40,canadian hip hop
41,bmore
42,ninja
43,brostep
44,albanian pop
45,r&b
46,australian pop
47,miami hip hop
48,francoton
49,uk dance
50,australian dance
51,contemporary country
52,emo rap
53,kosovan pop
54,melodic dubstep
55,disco house
56,filter house
57,europop
58,uk hip hop
59,philly rap
60,nc hip hop
61,german dance
62,progressive electro house
63,emo
64,chicago rap
65,indie poptimism
66,latin hip hop
67,belgian edm
68,pop house
69,french pop
70,deep big room
71,progressive house
72,neo soul
73,uk contemporary r&b
74,etherpop
75,hip pop
76,neo mellow
77,toronto rap
78,electronic trap
79,grime
80,brazilian edm
81,boy band
82,canadian contemporary r&b
83,future house
84,album rock
85,birmingham metal
86,hard rock
87,metal
88,baroque pop
89,dirty south rap
90,puerto rican pop
91,latin pop
92,basshall
93,tropical
94,swedish electropop
95,detroit hip hop
96,g funk
97,dmv rap
98,dancehall
99,cali rap
100,german reggae
101,uk pop
102,austrian pop
103,indie pop rap
104,indietronica
105,metropopolis
106,dutch edm
107,trance
108,british indie rock
109,modern alternative rock
110,dutch house
111,rap latina
112,k-pop
113,reggaeton flow
114,perreo
115,complextro
116,dutch hip hop
117,dutch urban
118,cologne indie
119,la pop
120,reggae fusion
121,eurovision
122,pop nacional
123,rap rock
124,afro dancehall
125,nigerian hip hop
126,nigerian pop
127,pop punk
128,german rock
129,liquid funk
130,uk funky
131,country
132,country rap
133,country road
134,trap soul
135,classic arab pop
136,rai
137,eurodance
138,indie pop
139,trap latino
140,german indie
141,latin viral pop
142,east coast hip hop
143,outlaw country
144,pop reggaeton
145,queens hip hop
146,german techno
147,baile pop
148,funk carioca
149,funk das antigas
150,pagode baiano
151,k-pop boy group
152,partyschlager
153,pop urbaine
154,belgian dance
155,adult standards
156,easy listening
157,lounge
158,arabic hip hop
159,beach music
160,brill building pop
161,rock-and-roll
162,florida rap
163,art pop
164,blues rock
165,classic rock
166,mexican classic rock
167,rock
168,canadian electronic
169,deep euro house
170,deep house
171,finnish pop
172,bubblegum dance
173,deep tropical house
174,deep groove house
175,neo-synthpop
176,lgbtq+ hip hop
177,dutch pop
178,new orleans rap
179,k-hop
180,destroy techno
181,birmingham grime
182,instrumental grime
183,italo dance
184,k-pop girl group
185,panamanian pop
186,pop rock
187,nyc pop
188,texas country
189,mexican pop
190,piano rock
191,escape room
192,minnesota hip hop
193,indie deutschrap
194,rap marseille
195,norwegian pop
196,contemporary vocal jazz
197,hollywood
198,classic schlager
199,scandipop
200,boston hip hop
201,baton rouge rap
202,art rock
203,experimental rock
204,experimental
205,experimental pop
206,deep pop r&b
207,indie r&b
208,uk dancehall
209,uk drill
210,belgian hip hop
211,rap francais
212,girl group
213,dutch trap
214,post-romantic era
215,soundtrack
216,chanson
217,french indie pop
218,french rock
219,argentine hip hop
220,trap argentino
221,bubblegum pop
222,doo-wop
223,folk rock
224,motown
225,rhythm and blues
226,rockabilly
227,alternative hip hop
228,hardcore hip hop
229,smooth jazz
230,smooth saxophone
231,balkan hip hop
232,oklahoma country
233,deep adult standards
234,talent show
235,kurdish pop
236,discofox
237,oktoberfest
238,comedy rap
239,dark trap
240,indie electropop
241,electro
242,acoustic pop
243,ectofolk
244,indiecoustica
245,lilith
246,social media pop
247,teen pop
248,rap conscient
249,turkish hip hop
250,turkish trap
251,viral pop
252,urban contemporary
253,vocal house
254,turbo folk
255,rap algerien
256,phonk
257,german pop rock
258,video game music
259,german singer-songwriter
260,kazakh pop
261,russian gangster rap
262,russian hip hop
263,polish hip hop
264,polish trap
265,hamburg indie
266,vocal harmony group
267,rap tunisien
268,vienna indie
269,new french touch
270,shimmer pop
271,trap queen
272,melbourne bounce international
273,vocal jazz
274,liedermacher
275,schlager
276,meme rap
277,underground hip hop
278,vapor trap
279,mellow gold
280,psychedelic rock
281,swing
282,torch song
283,singer-songwriter
284,ukrainian classical
285,nouvelle chanson francaise
286,soul
287,slovenian pop
288,virgin islands reggae
289,turkish trap pop
